,metrics.tp,metrics.precision,metrics.tn,metrics.fp,metrics.fn,metrics.specificity,metrics.recall,metrics.fscore,params.model,params.decision,hight_threshold,s_t,T,th
0,6.0,1.0,300.0,0.0,294.0,1.0,0.02,0.0392156862745098,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 50, 'T': 240}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.03}",240,50,240,0.03
1,14.0,0.875,298.0,2.0,286.0,0.9933333333333333,0.04666666666666667,0.08860759493670886,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 50, 'T': 230}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.03}",240,50,230,0.03
2,3.0,1.0,300.0,0.0,297.0,1.0,0.01,0.019801980198019802,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 50, 'T': 240}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.02}",240,50,240,0.02
3,67.0,0.788235294117647,282.0,18.0,233.0,0.94,0.22333333333333333,0.34805194805194806,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 50, 'T': 210}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.03}",240,50,210,0.03
4,34.0,0.85,294.0,6.0,266.0,0.98,0.11333333333333333,0.2,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 50, 'T': 220}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.03}",240,50,220,0.03
5,0.0,0.0,300.0,0.0,300.0,1.0,0.0,0.0,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 40, 'T': 240}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.02}",240,40,240,0.02
6,0.0,0.0,300.0,0.0,300.0,1.0,0.0,0.0,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 40, 'T': 240}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.03}",240,40,240,0.03
7,0.0,0.0,300.0,0.0,300.0,1.0,0.0,0.0,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 50, 'T': 240}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.01}",240,50,240,0.01
8,0.0,0.0,300.0,0.0,300.0,1.0,0.0,0.0,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 40, 'T': 240}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.01}",240,40,240,0.01
9,0.0,0.0,300.0,0.0,300.0,1.0,0.0,0.0,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 30, 'T': 240}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.02}",240,30,240,0.02
10,102.0,0.8225806451612904,278.0,22.0,198.0,0.9266666666666666,0.34,0.4811320754716982,"{'_target_': 'src.models.midv_baseline.MIDVBaseline', 'hight_threshold': 240, 's_t': 50, 'T': 200}","{'_target_': 'src.decision.cumulative.Cumulative', 'th': 0.03}",240,50,200,0.03
